a0,b0,c0,a1,b1,c1,x12,x15
038b617b,6bf30f36,b3fed8ba,5a18807c,7dab1fdd,b3d62a08,b1f6d8d1,a1ce2a60
833d25a4,55d6c4fb,a966fe76,288084b6,eafaa632,044361fe,2a4adef6,2c43617e
837dac22,08eb2180,16f080dd,831954c7,756587ad,8ecf0f7c,17fc24fd,8fc70b79
660597e7,1cb295ac,1b42fd08,ddd7fbf2,7ada2135,d552c7a5,7d426989,91127735
8f409a00,3c8b26ab,2a361024,92d0b8da,17e175b5,b7b369e7,21760224,b5f379fd
3552e9d7,89d4053c,93684a12,f4f90daf,0e33e5bc,64d9ef57,962aaa92,e038efd7
01ccad94,d3de1f21,781d94d7,b186751b,2509ed39,1bff7d6b,78d934c7,ab790d73
7af91cdc,a04ec23d,7b2a4ca9,199a8ff7,48acc4f3,810b45cd,13ca4865,8989430b
b43e5268,cd762cae,6a6fb33a,ecfb9d9d,663ccabf,fa42b2b6,ca65f13a,520836a7
80cf1bbc,39ed23a5,3e08de11,627d5631,f1968374,ea43e86b,be43de81,aa3ae87a
8b2eaeba,bbff4ebe,1ad7315f,89e63ffc,e31e69c5,94a74b0d,12f71765,9c476c75
310d2050,db860233,f3d6a52c,d357b779,5aee0f9e,c8db1f55,f2dea52c,499b1a7c
6cffbd71,9419522d,aaee597b,fd1b4bc7,a1e0fcf7,66db6ee1,8e17f52b,53c26423
6d29f157,545953cd,31548b7a,ca4c2875,ad93fdbe,0dd71861,585c2b29,c59f3010
231278af,39c7fa89,310b3c42,a38d28a0,15266f19,3ea8c668,110b2cc2,1e29c6e8
828ad224,8babe6b1,8233dd86,3b88cd95,3807fcea,c3216b65,00bbcf86,f0a96374
2b2d0eb7,dda29440,6b6a10fb,e3e36317,cfc9e36a,5576cdee,694316d9,5715aeec
305ab3de,914165b2,5d575d68,4ebd90f7,e8c4d0c6,3ae5bdaa,6d57ec3c,72602dde
ff606689,bf51e8d1,28410eb7,f8902c9e,ad2302b1,f70571f4,3a216cb7,e71559f4
b9b155a9,452322d7,450b640c,c8bea256,634d2fa7,b71324dd,652b612c,b73d248d
b6d48fe9,55ca7770,72376a4f,a86b0e25,c7f595d0,00ec0c2c,e023e8ef,80c70e0c
eb9ff0d9,d06678ed,0c9357f7,38e3faf6,dc7d85ac,736592de,0488a7b6,7b666a9e
873bd81e,ac66fe97,9a902384,4d11e931,27ea3ce6,16da82d1,1998e394,1fda42e0
01934460,11db0718,ab945ea3,a0968420,7d5e9f44,0defb167,ab155ee3,2d6b3167
6ec15e4b,c5f35b4d,707bf1f6,b9eb241f,9b1da915,3c0ce5ec,3ebba3be,24e6c5f4
e4ab3ac8,17b8adaf,44454bd1,7a5693bb,d8fc94fc,603a309d,80457391,2a7e218e
995d1006,c6445e07,b19deacb,da72c51a,b6d194b2,5e00c63d,a188eacf,0e10062d
783abd4e,22730675,628f9542,2556d7b3,918f5511,abeebae1,52b78406,8abae9c1
b2d1d489,03b5a9c2,752e6c02,ee98e343,90a2b846,c676d853,e73f7c82,4466d953
71959963,336132c0,d400281a,4ce4fb7a,9a7747be,08bdb84e,f5143978,00b9c934
9ff88539,55a361b4,d749d103,df6f0c95,6161dd85,b73804ec,c3895532,a37a08fd
2a64fd4b,fdcde0e8,ceec5480,d5d49bf7,0f3de99a,a380f1dc,ec8c5dc2,7350f8ae
f37f5096,fa8a22db,a825baac,5a289089,93dc66e3,cbc4c371,c973fabc,83c4c379
93d92780,f1c88b23,7a68e0f2,4b5b867b,00f6d355,64468ceb,eb70e0f2,255c8c99
4649135e,c4b639d5,4b2bed53,31477075,c6b403fe,292e5af9,492bff59,292c6ad8
d16e06a7,9285f37b,a1a79ee2,d5e41fbb,b85af2ec,5cf80783,a1e99e65,5c3c0610
e415bbf8,81b7909f,c9917de0,a8e50b81,399918cf,da255b28,6995f5b0,72015328
82bdbbc1,cb8c58d3,c6ad400f,10136020,2c01fc8f,9cc2b682,4420e04f,9cc39682
fbcdee5c,15e9150c,e9440ac5,40166c8a,bc0a74a5,f0bdd01e,40856acd,f0bfb096
8f6f66a5,3ebb46d5,a9f71920,6d77e856,2d773b3f,d6eba23e,aabb7d80,d7afca7c
e420c156,985089a6,ac6fc1ac,2492839d,8835ba74,2b8890b5,ac4fc0fe,2b889325
eba3afb2,62a812ac,50b6ddff,8166cf7a,3f10dde3,6028f67a,191652fd,61083930
c004c1ba,0380f94a,2f659ed6,6dd59b42,4c8fee38,b8b51193,6f619fe4,f5b002d1
b3606d7e,32732390,97d8419e,c051d01a,886ea92e,8de021ec,25d849a0,0df1a1f6
ce516689,59250149,fd9b0529,9f2a0c0f,89f2f6e5,8912abe4,3dca63a1,1910afe8
6414c095,e844b07e,8a5f73ce,eb256c38,40b10353,8b43d7d0,aa4bf3cb,2366f7f8
7f05b1b7,2a61ad85,d7ce70fa,41df05a1,1f2b3aa4,abd3e710,e2cee1db,aa99e231
d19a9386,a6a0698b,037e7b4e,ac18afc7,6e7900c8,19914f2b,c3e67a4c,91896668
db3932c2,e97161fd,bc2640e8,762c867e,3c19f84d,00403d5c,6d0e5068,5468bd6c
86cfac59,dfa5b52d,ae4f1312,4c0387fe,f6412ba3,c3d1c025,ae8b9f1a,cbd146ab
69430fac,11045f44,f2eeedb5,81a342d5,dfe65896,7f41c5c0,baacea35,ffe3c710
d977dbf1,95ff3583,fa27b2c7,bb828940,fec9f01a,b93f7b55,b3117356,923dfa55
d0f569c7,e63a47bd,b1ee1018,0f272207,90aa9e84,4f95d189,e17e5919,4995d188
b1487f2d,11944d68,4f28356f,18e8c787,83a8a294,bfdf87b0,df205a43,aff74034
15852875,63cbd526,2981dbf8,79c5cdcc,39d48cfb,e041ea0d,3984d3ad,b844a3c1
25d1bd3d,bfd2379b,04aa619a,5be09068,641e5f77,798bb847,056a49b6,224bb82f
a6ec7ed3,7bd8696c,b7983a70,70c215a6,d883e381,f85f7bb9,15d030b1,d81d7b1d
6b40ab25,774120b3,5a7fd460,dce8e58b,c4d5d867,828ec29b,797f7c64,120e221b
ac0d4e83,68758c6c,641d130a,b5d23e68,18bfa53d,1cf971a2,44151b0b,2c3b59e2
8181f209,97c09c07,e264122e,b469155c,4b9c4c87,34d204e1,6264c22e,a09a14e1
efe7e7d5,ffc28d91,bed75216,c5a7e37b,4377eee2,0ac19abe,12723147,8e64f9cd
5250f193,7145978f,339d3492,62b6d5c5,a85a6da4,6a83a19b,638dc491,2a95719a
cc4ea7bd,d3933d75,e9ea4b70,f9a1e674,b9bb79af,4c6542f1,a1e24fe8,244506a1
f5286a99,8914fc5c,68928f1e,808344fc,5b9bf8b4,e7a1c5dd,b89a8f96,6722c135
cd6b0502,c09e1978,5352a16e,d4c4ab29,dd50c8e0,72741128,5e18a06e,66b09020
a968fa45,1b61c5be,090f268f,f6b845a7,dfd3ca62,3ac13305,892f2ccb,fe713681
9474bb66,bca29538,03d98401,c5274911,9c2512fd,31568347,03dd0745,31518246
fd542abd,000de59f,da892968,2265f657,17ebd37e,011231e5,cfcd0bc9,037607a4
252ba9de,7b534ddd,d4ed1725,049666e1,33bdaa76,7438fe14,d4c7b6af,74be98b5
616f802f,1883ecd8,84f8d7da,b4817976,a8272016,5ade6a7a,a4dc57d4,ea5e223c
b67d1e40,8e6a9cca,0e5ea3c2,4b4174ca,e02a5bc8,b7c38365,281ea5c2,fd83c767
62c9bed9,2f61d75b,3f375a5e,472438bf,65627802,3c37b179,7d36f407,7e379960
a6111e94,28a46896,561fa7fc,0fdb2c28,c0172f4e,d122243c,f60ea16c,d9b12034
225243ee,3682b456,e8f7035f,68c9500b,23bb41a7,122737ba,e8e742bf,122e67bb
1b30fca9,6687d01d,bee4241a,a18bf9b1,b1e8b3e0,ad3d2a9d,adc444b3,2c364b2c
c421be99,1d4b46a3,a708461d,669cea36,3d7d3266,b61f3f3f,a728729c,960b5f3b
ed69e0ef,892bc91c,8da45ddd,4f2c8bde,559333c8,77a30db2,418cbd19,3b8b8766
517dc003,b7a6019b,ac387d3b,423ab50a,29323882,ee438897,bc2c7d3a,ec53b99f
5dd81dc2,22457273,70975d18,457b8939,fed5afc7,f1677f10,2c074098,b577f620
276bda8d,de38928c,ff407824,16065222,8037b906,c52f6976,f94b72ac,d3296b74
56bebde8,4771e1f1,bbb5b113,9ecf5f7a,a2b6d139,36164df9,ff3381db,b2d15db1
69c36415,0e24b6ca,0abb58e8,61c7140f,5336edb1,b1098810,43b918f9,f00b981b
a5a780e3,4683f873,d5b4b55d,5974b22f,134d9e8b,75be591c,d032b5bd,24fa7b34
50bba5d7,00bb6a95,a0730357,fa7c75ce,0f9ed8f8,d231b8ea,a052a312,d81588a6
0a041186,4442fb11,34b6d657,d99b7aba,7617679c,82a0c778,36b2c6d3,92b1dff0
e5830059,4446359a,f7b5524b,3f8d3433,dc3df96b,5eb72b0c,77b6521a,46be2f3d
8ad393b5,cc28fb5c,70f7b0cf,2e2f4b93,02b7d94f,d5fdf761,fa64b2de,dbf2f572
dfe77743,514e9d7d,119a89b8,d5fcdcde,03a299eb,a944db95,437e8dba,f9a8df03
2ead821e,ea3b0804,a551cd01,ebb08ec1,959dfc5d,ea456c39,8bf54d19,81e5e878
4c6170b6,edb56394,5cd0aa89,37235854,da6d867d,3c64d2b1,5890ca29,0b6492f1
6558a471,f174d256,5223d46a,3570273c,c63bf674,66dd1361,776bf04a,539d3741
41aa2366,dbabb136,aeeda224,14b2585b,bf78394d,ea247801,ee6fa246,eeb6705a
a9c61038,6c510202,400519aa,ebf1f8c5,3080311e,461edab7,48c509b2,0ecfeab3
50d21a25,f0533c38,25f4dab0,31b33dc6,e055caac,a2e89657,35f6c8b4,b2eaa2d3
ffb01bcd,7f585d8d,2bf5f0e6,649c4b10,44c7cbb8,f4b61952,1065e2e3,d42a1b42
439e4784,9c64a6cb,2dbf8bda,59616b0b,a00b70d7,862a8ef1,2db1cdde,9e4bccf9
fa938dc7,ccbebec0,04711f3d,3983b301,94d6fd66,41eb160f,5c711ebb,59eb150f
6f4424c4,b772f5a1,394eb0d6,5b539d53,619c1253,8cefe07b,7f0a9416,dead6529
44748918,87cba3bc,403af324,4bbeda66,64d450e7,b4004daa,002e723c,f71e9fe8
f9c85ed4,19297374,beadfd1e,bf2c8970,7c3ff006,d65ad419,dfadff4e,f35e5569
9ccd9200,5507dd45,14b61219,74f6a0ea,5f384f02,f7800936,1cbb8019,f7b68974
5e910aae,63748e6d,2fb6882a,c9011df3,904794a0,ab14358b,7da782a6,6a152d4a
43c76fd3,117ae918,8f377123,6ee852b6,034d7091,951f3e2f,8d3078a2,973f2eaf
21d36dc6,63515f72,7af2823d,15801e19,4e2797b8,6f172254,5ba0caff,6a172a5c
d5cda0c9,ce3ee51c,f8df2b30,896264ee,c13efe87,7bdf5d06,fddf2bb9,72df5d8c
ac30a462,7a707029,55a2ae55,ac661b7c,4a2aa73c,6463758a,75b22a55,4421669e
c0e23e68,417a1417,18f044f8,23f580b7,0e22a944,90f9406f,58b078b8,93a9c07c
f0d9e473,967e8c6e,d430e4f7,41901b62,d8547667,98fff0cf,943804f6,d8ffeacf
d0c4362b,163c6bf8,aa04f230,e784f341,4b386bbb,766e07da,fa00f233,336a079b
bfaec49a,4475d95a,8b733100,7a7aa091,d34c7547,72b954a0,1c5bb518,6081f4b1
00da9618,fde19494,4a72dbcb,17c35d39,d869c709,a00b0a80,4afac9d3,a58b5b99
bf664442,9d005068,1d813479,02e755bd,18445ad7,ee14071f,98c5347b,ee5007a2
29d4be6f,63d74682,948bdb73,5695fe02,2ba63178,a946eedd,9cdbed19,e95798df
5d31bab8,24915a1d,53377d3c,5ff7a970,1580f1bc,a98d492c,4226d79c,b89ce00c
772710d8,b88b41ea,544746ec,45372358,359feee8,c5178302,514346ec,c003a002
94ba0b61,b21cb8a4,e3abfced,e2bec212,bdf3820b,f0390fcd,e701f6cc,f2970dcf
856a906c,4adc657f,d5dafba0,e9cc029c,0c4bebc0,bdc1d088,d1d87b8c,fd45d214
cfd6bd20,25f959ba,4ffcc64c,758d2b35,e651cbaf,9b9dd9b0,8c7c564c,da15dba5
63852b59,983b07a4,8e0bef8b,2e7446c6,ebcfac13,ccb97c80,ed8fc49a,eecd7e06
aa5df18b,caacecc7,87ce6c64,b0dc8aa1,c2160928,14835888,8fd68def,141bd829
07ae5736,188f2bb3,46dac783,b0678c1d,0f74e894,de3d432e,417084a5,ce5ec32b
63a4055f,6f66bb9f,fd8d6993,d8cdc5b1,74963943,3bfde858,fe2d69cf,233d68c8
2d7a7e33,92cd93ca,46e9e2f9,544a8a76,8c434d9b,178224bc,4ae3bce8,0388aeec
a578a49f,a19172d3,64ab614b,760c6bd6,c9e2dc63,f9693882,44dbc5db,99691212
6c2f02be,cbc1c197,b4d0897a,6d5aba4b,5c4bd046,c1255916,b0da89ea,c42f4957
3e64d474,ddab8d91,bec5e2e3,633ffff1,03f90de4,eea79b5a,a0856297,acb51b2b
cd651589,2d780ace,a2797615,5587d348,b1e8e192,70e06dc7,2e79771d,6460ae8f
7c545a94,efea8764,bbc65253,d4bcf250,564a59cd,4387efdd,83c608d3,d3273ddd
68d3b779,8a42e879,481d47ab,6e6a3597,eb911be8,bd8d8b34,28cef4ba,ddcfbaa5
f1cabdda,e619bd63,098950b2,ef687c4d,49376af0,842687a9,a883c520,2b0ed3a8
01cf0ce4,fbb5d39b,9acd70a0,55491ea7,68810f50,099e1dfa,9bc97c60,189e0179
2cd6559b,ebc2a998,842c6a7e,6b6a23d7,54da623a,dfdf5631,a83c2bfc,f4d755b3
9dea5848,f5a54b51,d6afd62d,4d7ee622,7b330411,f3d9503a,5a2d9e6d,ffcf163a
0672a2d3,a68a3820,a0ca6876,81ab903c,70935d8a,618603e1,a6da48f4,e18f03c9
62e32b67,189c17e1,61eb9aa1,8c3b8fce,cdbcfc71,f7cdf6a7,21cbb1a1,73ed7d27
20945f4c,e47b6720,2389abc2,b0cd545f,8d8df78e,2f049490,031dbbce,0fc0849e
73f13d74,2b54de0d,a2e6bd9f,75778a4e,036df0e2,af611d73,82d791fb,8f50173d
5ec90cc8,b397dee0,09bf7931,3eed06b3,75bb8483,a7f60f1e,4fb77171,a1da0d3d
1de82e04,ac07612f,e4b37ef4,d019a5be,eeea5dd1,d893ea19,e45b52f0,989acea7
c96175fc,1d8abd12,ae055356,ddaf13a9,86bfe7da,229cb08b,2724039e,bbb9a203
0ee42ae2,7cd7fa35,35fb5a40,59b159d6,79c590f2,4275f8c9,31fb7082,4365b00f
7cea90fa,d30abb4a,27660599,5f958cf1,c86eb278,22ebb109,3f0605ab,39efb939
e81d3827,2e3dc7aa,cd7e6a09,9817ec87,219e2c35,26dd62b3,c57f420e,2ede8a34
1c49d82f,a7330126,714b988a,7c0b7f4f,045b46af,e639b028,7103d883,c631f721
9d5998d4,628dd82b,df10e77c,06da8233,20917ce5,6dae2a9f,df0867b8,6fb6aa9d
2b5db7a8,55d507d4,3e86e743,d4a271bf,ddd03720,fbe9ef93,3683d7e3,7be9df27
c5b407fe,8a0809ef,dfe8ac51,6257fc21,db5b2271,7adc9f93,9ef8afcf,3a8fb793
007e86cd,e7cf418c,181be07a,bd9954b5,b270ddd6,ecd2a150,18256432,f94bb540
a4107f04,3110aebb,6545591b,2bc4c804,0ce9fca0,95dc0600,41550b1b,bc1c4600
9adfbc97,f9f072c9,e213d09b,0c5eafc5,4945a564,233fba75,7286441e,232b3df0
e7dae3ce,277c154b,fbf534ac,22ab82a2,b4d98f75,d273a8df,7875b6a2,d0d22afd
bb1c2ee0,6a1210e6,da3eb8db,ca2f6bae,79c964d5,6a51f001,c9269cfb,685a9023
6fad94ed,3fffb51c,1b68fdd4,2c12ecb5,1abcd4e8,47d4f3bc,3e69fd30,63d69308
8fa36346,91efc3be,ea4e21f1,675be5ae,6c87d1cf,67e20425,676e23b1,02aa0405
2152ddc5,a5e5b15f,aaa0cad0,c28a796d,1f6d9ae6,47650cf4,8aa0c351,c5ed25dd
516aba55,ffc35df5,d1e5f01c,85a39947,263a0d53,123f9896,808de018,939e8890
3c50a090,53da4e17,60fa2073,764ab12f,5e790c93,44e7d28f,6cfa20f3,40e5d28b
f8f98868,37851193,d864475b,162b2867,d10931f9,cf445f43,38ec4733,c94c7f21
eebf4c59,2e06e3f6,a7113265,f81b2b5b,3823de40,30190051,a1343e75,20182943
976bc56f,1fa47de4,5b88a960,486db842,732a490b,30299ac9,5f82ad0f,7825aa8b
61d70cd3,bff8d29c,973c3ccd,0f6aa5c4,6a21a700,6325f641,d6ed385d,666dd3c5
c7e531e1,7810591b,2f49abdf,b25a8796,ba6e35e3,811bd4db,ed2d8b3f,0341d04b
349a96af,200637de,2db18b49,4066ba8a,815fe330,e039d38b,0da91fe7,e0794301
2799057e,a5984ec5,4ee0806f,e826461b,e91d2720,2557be70,4a61810b,6d53fe71
2af8310d,5d3f2f25,d866d5ee,1e68b263,3b40ebce,c080c15a,fa1ed5e7,c6e84139
b62d1637,a29d7f01,baa36f70,7cea2801,1034ffea,fd6b148c,088a6f53,cdc3148d
3584470e,86a30daf,e77a3943,dcc76b1b,8d05ea3b,35014944,e6fe7e47,3d872a54
1fe8beb2,81851943,d983ceb7,a7068f96,0c256ae4,9b510b92,d423fc15,1e510814
69d320d4,2d44561c,b1081e63,3caa6c45,fd51bff6,00c4914d,f1193ea3,10c4f90d
e8a2b1db,e5b0ce96,4ed80475,9bad73eb,dca76cac,ce12bc26,66daa46f,d7179e0c
e58449d9,7840af00,2ef26859,248d8d55,811b10b2,b5bab765,cff261c9,95b33a75
b7e21aa3,41cddf36,fdf0b420,cce8cc52,704c72cf,bb42970e,cc70bc81,bbc21b5e
50d1887f,c049483d,8fb4f9bc,68a048ae,629c2299,ef6e49c7,8f65f198,cfee0163
08c807af,8dec3842,adb8ae68,8e78f282,f43604d1,421de874,a570aaeb,4a45d8f6
9aea3dad,ab421485,6bb56e25,fda6845a,7060890f,4cce40a8,f19773ad,95ecc4a2
555d1044,3e7f7f1e,0bb5c134,08205989,b09730b3,e6912f65,0ffdc130,eeb166ec
8e49bc18,536bb863,9d08b6c4,528bc782,dee758da,5383e165,110016dc,530b21e5
a415fd6d,447b5860,6eba448f,9f6a2a3e,d7939d1f,82cc8f76,eeba81e2,11a48f48
a798ab17,1cee0804,912ed48e,c065f747,765efba1,bb364759,b3be778b,fb16b45c
a0d5d32e,24fd2833,96c53c57,862c20fd,6e449a9d,a2421823,9654ae79,a06a388f
c51ffcf1,3b2d758a,803eefe0,15ccf79d,206db205,88bd411c,813e2b61,99fd8691
c415191f,63f60ee2,5314f4ac,93935f5b,2455e311,b89a6fda,1715fdbf,bb192289
8329529e,690e14d5,500eb758,4e479164,1929b69d,9488add3,502fb550,d48f2d93
a36a0fed,cb2c59bf,6a56dc68,f23d7092,688b3fa7,67a7b9ee,c974da60,c582d9fe
6d1ab53b,20a4a3ab,899e478e,afd2e016,dfa2eb61,884684f1,e49c4784,2744c4f3
2d5ec059,2a2e511b,29d52658,67104662,2276c397,aa21c605,218da650,aa31c405
521572ec,deaeeaa6,515b4458,ba241885,f3343c93,e62ca7ac,514b167c,ce2cb7a9
24d705c8,595939ae,f825d3cc,cfe89685,ce34394e,77b0d1b1,fc60d30c,f0d8d131
5655fae9,2c03c949,ae8054cd,6387900e,8b92bb0e,43dfc4f0,a891268c,605ed4f6
d4b5a831,526d8a40,7a97be0f,6f33d17e,1664784b,2be81fd1,3e961e0e,6fe9cfdb
40a0a307,45d3be2b,17d99008,a7703e94,e02c4492,a1f2fc9a,17793209,0482c60a
3feaf4ea,b2238555,3593eca0,96cbb30d,b9885cef,3af6fc56,3e393c0a,387d6d5e
1fb0772d,c1f6d636,67cd1cdd,1aee8d0f,86d22474,2c8703bd,60ed6edd,2ea383bf
24614ffa,6dce4020,3a2dd738,a7b46c63,aae9b43d,55137868,3e0c9320,d2371c69
ec255b3b,9f0e3f65,19f0c6f5,58f049f3,90da5e84,ec1b6930,15f487d4,e4cb28d1
bfdcf291,7b14e7d6,4a30221b,e7a4557c,3e24bcc0,ef342bc6,4f20700b,aa147ad2
d4233552,202f82ea,f31c9f8c,97acec3b,2b7399c6,24460776,f31c8e8c,274a0f5e
403e220c,d46c1bad,21aaa8a4,ca953989,cf5b02f8,5b8027a9,219ca8a0,51953ea8
baeb53d0,5113f834,0e8d7fa6,bd838f75,18660519,093b48bc,06ec2ea6,003ac599
e97f34be,d309dda7,f1d87764,4e682f72,7ffdff60,116d445e,59ac57e2,1d0d661c
86183fa4,a613d9fc,1e8ab9b0,4a02394e,6c0d2682,050f08fb,9c928694,4f0d31b5
c24e375d,b521b951,129d2d7d,d840b509,786cb24e,7b071cbe,d2d12e60,b3471db7
43946865,67c15a12,71ee5dd9,e6e5414d,789fe11d,a508fd1b,72fa75dc,a34cfc16
4c4a547d,5341d174,e5133c7f,60efdf25,58e8aa02,298144ce,ed1b6c0b,29281fea
d411470d,cc8a76c8,3e1a58da,d428613d,26f91571,7954c791,fe0b1bd3,b974a6a8
903e7f0c,c0904e0a,02c02dcf,3d681d94,e098168f,46a2f232,02c875cb,66aaeab6
d97fe4ae,558be23f,6d6ef938,bf517ca3,bdc212ed,549d31ef,a52719ba,fcdc416d
143bb7a8,55d2ec70,3e1205c9,35669215,c3e9bfef,fa8d5f08,2a291641,eeaf4d1d
95706b9d,0e0b1c79,357b5852,1b531dda,36dae930,618107bc,252b395b,79d012f4
3a63a956,3a3e8095,4108b4d3,f976b988,fff0e880,b9f3ca28,414a9cc7,78b5e228
5c54e1f5,738158fa,642f7246,d8800913,385652ac,687cee1d,2c7b7212,20fce60f
0da23691,6ffbe4dc,9bb9bd06,42552bbc,095d04e3,4a052420,9f1b9d17,0801041c
2807062c,3d4b6dfc,0c42f285,c02c6930,777d06f7,a494ec34,0444f08d,e4b08534
