a0,a1,r,c0,c1,expected_value
36a055f2,8377e881,4eab2475,780b7187,cddcccf4,b5d7bd73
4fdaeae9,9f90170c,bbcaf444,f4101ead,245ae348,d04afde5
2f6f37cf,1c6115cc,41630e84,6e0c394b,5d021b48,330e2203
0c1d493e,0c97a504,48650eec,447847d2,44f2abe8,008aec3a
8e789269,01e4fd2f,58be7860,d6c6ea09,595a854f,8f9c6f46
a03ed048,263fdfaa,e487f932,44b9297a,c2b82698,86010fe2
c518dc8f,ec116470,826795b1,477f493e,6e76f1c1,2909b8ff
53b45d80,66c66b9c,39496837,6afd35b7,5f8f03ab,3572361c
b6ad0c23,d3c8181f,a4082102,12a52d21,77c0391d,6565143c
d40eedf0,6e8725d5,01c72afc,d5c9c70c,6f400f29,ba89c825
f88ac006,630316f9,03e139fb,fb6bf9fd,60e22f02,9b89d6ff
68bd2756,d8c8c878,b19a336c,d927143a,6952fb14,b075ef2e
c5b44da2,0af9a918,69dc2fc6,ac686264,632586de,cf4de4ba
ddaff02a,51e0b94f,eb82192b,362de901,ba62a064,8c4f4965
930d58ac,c9876925,8678dd6b,157585c7,4fffb44e,5a8a3189
6dbcea3e,8b15566a,1810fb17,75ac1129,9305ad7d,e6a9bc54
b489c6c7,0936b114,f552bb9c,41db7d5b,fc640a88,bdbf77d3
227d8a29,df27678c,c0a10843,e2dc826a,1f866fcf,fd5aeda5
8021c69f,8a71edc4,4e928c15,ceb34a8a,c4e361d1,0a502b5b
1d066b6e,644dfd0c,facd5b87,e7cb30e9,9e80a68b,794b9662
b3db05e5,19560c35,3d0204a8,8ed9014d,2454089d,aa8d09d0
630ea4bb,4f176172,8538534c,e636f7f7,ca2f323e,2c19c5c9
864f7cbd,1aacc0fc,91db4823,1794349e,8b7788df,9ce3bc41
b480111c,4b11a6f0,8c2c7f15,38ac6e09,c73dd9e5,ff91b7ec
71fbe23f,1f16959b,4690c59b,376b27a4,59865000,6eed77a4
b64da63b,fe927f6c,42588247,f415247c,bccafd2b,48dfd957
42e3de71,0baa1a0e,d1a46865,9347b614,da0e726b,4949c47f
3a7534e0,4dbf0ef7,1c7166fa,2604521a,51ce680d,77ca3a17
a8168984,52891895,fe98fa79,568e73fd,ac11e2ec,fa9f9111
b170dd23,3daf4b70,3e38d337,8f480e14,03979847,8cdf9653
7ec9f4a6,79042909,150e62bf,6bc79619,6c0a4bb6,07cdddaf
2752b083,79238b1b,5325c118,7477719b,2a064a03,5e713b98
39198681,943b64fb,f5d16ba0,ccc8ed21,61ea0f5b,ad22e27a
18022518,acb3b8ed,6638123f,7e3a3727,ca8baad2,b4b19df5
09f6b225,45358371,5aaf02f3,5359b0d6,1f9a8182,4cc33154
2d278fdb,de80ee98,703e6d4b,5d19e290,aebe83d3,f3a76143
1945c5c6,9957bd4a,0a328485,13774143,936539cf,8012788c
0b261470,19d5db35,24e14a2a,2fc75e5a,3d34911f,12f3cf45
242ced2d,e06b9d5c,069e8365,22b26e48,e6f51e39,c4477071
7953012c,82d9af5e,30fd864f,49ae8763,b2242911,fb8aae72
8c65f624,da30f3da,a357268a,2f32d0ae,7967d550,565505fe
880e57c2,2497eb2e,d2db4939,5ad51efb,f64ca217,ac99bcec
023bac53,59c746e1,fbe90420,f9d2a873,a22e42c1,5bfceab2
7806ff37,0939ea08,bd7b41a2,c57dbe95,b442abaa,713f153f
84aba27e,596538b1,2157d4b4,a5fc76ca,7832ec05,ddce9acf
27bd5dd8,b3d61b53,b1804966,963d14be,02565235,946b468b
2e1f0b5b,d958f9c6,2401d310,0a1ed84b,fd592ad6,f747f29d
d31bc175,3d8c431e,e75f7075,3444b100,dad3336b,ee97826b
ecb03c26,525a4d4f,0bb083ba,e700bf9c,59eacef5,beea7169
044d94b9,5fe85435,39e32d31,3daeb988,660b7904,5ba5c08c
c602834f,921dd99a,55145b66,9316d829,c70982fc,541f5ad5
aef51387,78a2a5b1,2c0ad389,82ffc00e,54a87638,d657b636
7a2eea0a,c1a2ae06,88066b22,f2288128,49a4c524,bb8c440c
c2db12a4,cc8af53d,3a74ea48,f8aff8ec,f6fe1f75,0e51e799
c11ef044,a8f339db,5c1a7bf8,9d048bbc,f4e94223,69edc99f
8cb32514,a8417828,1f3a66f4,938943e0,b77b1edc,24f25d3c
5ad184b6,baf4cd64,cde602f9,9737864f,7712cf9d,e02549d2
7a5c95f1,83e41c0c,b6a50377,ccf99686,35411f7b,f9b889fd
7b43daf0,18d3f022,53866779,28c5bd89,4b55975b,63902ad2
e318125b,b6db41fc,7a2e00f2,993612a9,ccf5410e,55c353a7
63017df0,62ca6c86,2026b091,4327cd61,42ecdc17,01cb1176
438f355d,5941f940,1738ef55,54b7da08,4e791615,1acecc1d
a2b151ad,7817c346,01104778,a3a116d5,7907843e,daa692eb
f3c7302b,66577241,70537769,83944742,16040528,9590426a
1f2d6827,53766d58,658c8d5d,7aa1e57a,36fae005,4c5b057f
7edbf90f,9e3c8d24,68770511,16acfc1e,f64b8835,e0e7742b
6d232f2e,0742ffa9,1ccf1e11,71ec313f,1b8de1b8,6a61d087
75bad19b,acc161e3,f60242cc,83b89357,5ac3232f,d97bb078
04dc40e6,4a77c980,c5e6c061,c13a8087,8f9109e1,4eab8966
161c0dc9,4dff5ca3,7bdfea53,6dc3e79a,3620b6f0,5be3516a
721afead,67a6bd72,ed5bd5ea,9f412b47,8afd6898,15bc43df
f4e8047c,15fdd944,0e6af558,fa82f124,1b972c1c,e115dd38
4541c787,e378ad3a,18ef40af,5dae8728,fb97ed95,a6396abd
3c9fb786,dcde3b2c,fd6bdbe7,c1f46c61,21b5e0cb,e0418caa
8ec161da,53e469d4,08c2a786,8603c65c,5b26ce52,dd25080e
f5f18f91,049d296d,6c7f14de,998e9b4f,68e23db3,f16ca6fc
41ed4e3d,1ff87c84,8c13eb8f,cdfea5b2,93eb970b,5e1532b9
e53cd639,417cd439,5f43ef92,ba7f39ab,1e3f3bab,a4400200
9f4d8026,bbf09e68,fbd0c063,649d4045,40205e0b,24bd1e4e
012c41fd,4f0737bc,e5f552ee,e4d91313,aaf26552,4e2b7641
a1dc09d5,3e1098b8,21588163,808488b6,1f4819db,9fcc916d
ef5251d3,fbf1ee47,440dba9c,ab5feb4f,bffc54db,14a3bf94
bc8cb1ce,0eb34520,5810ccf4,e49c7d3a,56a389d4,b23ff4ee
007f2689,93626584,5bbef748,5bc1d1c1,c8dc92cc,931d430d
674697e6,0de028cd,a6f495ff,c1b20219,ab14bd32,6aa6bf2b
761929ec,3eb4c294,8d4bc01d,fb52e9f1,b3ff0289,48adeb78
756147bc,9e72d364,36619ecb,4300d977,a8134daf,eb1394d8
515bd5c3,f7ea9acd,1bd229cd,4a89fc0e,ec38b300,a6b14f0e
8981faa0,4d9506a7,4083b5ba,c9024f1a,0d16b31d,c414fc07
dddfd3cd,5c7d24cb,26f0571f,fb2f84d2,7a8d73d4,81a2f706
728eea50,51655606,5dfa55c3,2f74bf93,0c9f03c5,23ebbc56
cf94fe78,dcba1903,f9d38efc,36477084,256997ff,132ee77b
289a91fa,fef5222c,eb2d6009,c3b7f1f3,15d84225,d66fb3d6
74fd630e,3a27d00d,b3a69151,c75bf25f,8981415c,4edab303
0c2e5357,50a855e5,6602de2f,6a2c8d78,36aa8bca,5c8606b2
f508f6da,778d8683,7de6fc05,88ee0adf,0a6b7a86,82857059
3d3eaa06,890aef01,0de09b14,30de3112,84ea7415,b4344507
8c924a47,8c8ec839,1d45d852,91d79215,91cb106b,001c827e
6014583f,3c6ab844,f566e831,9572b00e,c90c5075,5c7ee07b
6dc523bb,eb501591,98b12dd1,f5740e6a,73e13840,8695362a
82db290c,23f29c1d,a7922623,25490f2f,8460ba3e,a129b511
9199bb32,a046a94d,1fabdbc8,8e3260fa,bfed7285,31df127f
89f8f7d0,3de117d9,32d9b30d,bb2144dd,0f38a4d4,b419e009
97240ba0,f90c4b7c,3869d8ed,af4dd34d,c1659391,6e2840dc
0943279d,ccfbc35e,2c750d73,25362aee,e08ece2d,c5b8e4c3
7a871ee4,73e505bf,39639fe2,43e48106,4a869a5d,09621b5b
665c3b6c,453d6121,2bccb16e,4d908a02,6ef1d04f,23615a4d
4fd246ff,a5994769,738db215,3c5ff4ea,d614f57c,ea4b0196
0a22bf1c,7e1d3730,398c2c68,33ae9374,47911b58,743f882c
e26356c7,175a8a23,5ce8cb58,be8b9d9f,4bb2417b,f539dce4
23f9c4ea,c1bbd118,e67beb97,c5822f7d,27c03a8f,e24215f2
43596454,682dc980,383cfe74,7b659a20,501137f4,2b74add4
6bf53f87,040ee506,410b14d9,2afe2b5e,4505f1df,6ffbda81
7ee6023c,ac6b5f7b,2e477c6c,50a17e50,822c2317,d28d5d47
0d2e4d7b,43ff297c,e7a6331d,ea887e66,a4591a61,4ed16407
3607699c,e6b2feec,88bffae5,beb89379,6e0d0409,d0b59770
c7f227e2,f2e72bc1,649af584,a368d266,967dde45,35150c23
c5ecec0d,45e2ac7c,2606f50b,e3ea1906,63e45977,800e4071
c21785d2,ee19c73a,8e154e06,4c02cbd4,600c893c,2c0e42e8
a902e202,f3e15fb1,69e197f6,c0e375f4,9a00c847,5ae3bdb3
0e8c85fc,b65015ca,783b72b1,76b7f74d,ce6b677b,b8dc9036
df4c00c2,c58af872,4a63e017,952fe0d5,8fe91865,1ac6f8b0
fbde3ba7,cf42703c,21d0ed34,da0ed693,ee929d08,349c4b9b
f674e42e,a18ab33d,d408ee0e,227c0a20,75825d33,57fe5713
d2530423,9c67eefb,6d2b8d6a,bf788949,f14c6391,4e34ead8
9b95c416,ec8ea888,0f787007,94edb411,e3f6d88f,771b6c9e
216d53f5,15c6bf74,fcee84bd,dd83d748,e9283bc9,34abec81
d6438dbb,e1ff2995,f33b2557,2578a8ec,12c40cc2,37bca42e
ad6f95ff,16085cfe,677f3e6d,ca10ab92,71776293,bb67c901
850530ba,8e43f951,acd44783,29d17739,2297bed2,0b46c9eb
e2032b0c,13cf8356,5d8e61b4,bf8d4ab8,4e41e2e2,f1cca85a
feebe12d,0c61fcc8,b1cba66d,4f204740,bdaa5aa5,f28a1de5
79cd0c73,ff826514,255b5d5f,5c96512c,dad9384b,864f6967
14291d98,45723e40,92c16ac8,86e87750,d7b35488,515b23d8
edad6380,e7a41a36,9b9056d2,763d3552,7c344ce4,0a0979b6
be8e0382,a7a983ce,aaba3d13,14343e91,0d13bedd,1927804c
1ad7db22,e5289ed7,d0dc16ac,ca0bcd8e,35f4887b,ffff45f5
7ab59dec,be9de041,9d347545,e781e8a9,23a99504,c4287dad
e1b3f094,5c3830c5,e70c6747,06bf97d3,bb345782,bd8bc051
3bf6d7ad,25307c71,6e5fe3a3,55a9340e,4b6f9fd2,1ec6abdc
3dba8b6f,97e939a9,7a0752f9,47bdd996,edee6b50,aa53b2c6
6b270080,61208d4a,f810f745,9337f7c5,99307a0f,0a078dca
6d2e9751,62fed0f7,1dc51370,70eb8421,7f3bc387,0fd047a6
7b23f1e4,1c2fba89,327324ca,4950d52e,2e5c9e43,670c4b6d
5605486c,6ac9e65a,b46da3df,e268ebb3,dea44585,3cccae36
3aa93349,08d3cc5d,ba90c6a3,8039f5ea,b2430afe,327aff14
4e1d6f5f,f9fe816b,eb8a8c93,a597e3cc,12740df8,b7e3ee34
3e88632b,6cc83f6d,30b03abb,0e385990,5c7805d6,52405c46
888c5d07,d7512e2d,b75bfb0b,3fd7a60c,600ad526,5fdd732a
4bfcee50,5496fc70,3a4a6fee,71b681be,6edc939e,1f6a1220
1f4fe73e,4ac2a618,41fd1d6f,5eb2fa51,0b3fbb77,558d4126
3db74a18,438ae7d2,8993df34,b424952c,ca1938e6,7e3dadca
69182d61,82a1ff45,bdc3230c,d4db0e6d,3f62dc49,ebb9d224
6ef3bab0,9d773305,16d79130,78242b80,8ba0a235,f38489b5
d815a161,e2981b5f,54f3ca3d,8ce66b5c,b66bd162,3a8dba3e
074b4f7b,9893a884,a050dafd,a71b9586,38c37279,9fd8e7ff
35495f64,5a95e19b,73f6ab04,46bff460,29634a9f,6fdcbeff
ddfeb5c6,78e0a79e,a195c340,7c6b7686,d97564de,a51e1258
5bd17cae,9f6caf2e,613ca749,3aeddbe7,fe500867,c4bdd380
fe558bd6,1937ce59,77cffcb6,899a7760,6ef832ef,e762458f
9f40ef85,59ab6929,b0f3bf62,2fb350e7,e958d64b,c6eb86ac
e670b39c,0966b41c,5f33c048,b94373d4,56557454,ef160780
0dc9a3ee,0c2a60a9,1f3797aa,12fe3444,131df703,01e3c347
8a0c5ad3,265ab525,f72d3c6e,7d2166bd,d177894b,ac56eff6
da7c54e0,848a2611,ae1fc8e9,74639c09,2a95eef8,5ef672f1
a5e972fa,84b34dd5,ebc67e84,4e2f0c7e,6f753351,215a3f2f
023c79ad,47d09f98,5573fd0e,574f84a3,12a36296,45ece635
f79ab99d,e6bea4bd,b21f8a28,458533b5,54a12e95,11241d20
0f479250,bbebd63d,3e5a1f64,311d8d34,85b1c959,b4ac446d
978e2973,15d38cfe,373d98ac,a0b3b1df,22ee1452,825da58d
a833951f,03dc7a8f,d64679b9,7e75eca6,d59a0336,abefef90
88c46414,ddf4b780,e7982226,6f5c4632,3a6c95a6,5530d394
35e3038c,4bc287dc,e16c4b8c,d48f4800,aaaecc50,7e218450
225da1b6,1520938e,c27e2e54,e0238fe2,d75ebdda,377d3238
01e733d3,7ff4e063,b03160d0,b1d65303,cfc580b3,7e13d3b0
c0365f04,1e78881d,642db23b,a41bed3f,7a553a26,de4ed719
aae5f3cf,201d93a7,97895f43,3d6cac8c,b794cce4,8af86068
07281317,6fdc38f3,697256d0,6e5a45c7,06ae6e23,68f42be4
48287b13,ec711b46,75e7f039,3dcf8b2a,9996eb7f,a4596055
8e7dc68c,515e197b,8aedfcdb,04903a57,dbb3e5a0,df23dff7
3559d1f6,e56c072a,1bd4aa9f,2e8d7b69,feb8adb5,d035d6dc
ab680531,8f471f44,5d41ce04,f629cb35,d206d140,242f1a75
3ce4f451,6589d16b,ccb7adaf,f05359fe,a93e7cc4,596d253a
4b6429c6,a1f08529,b040b55c,fb249c9a,11b03075,ea94acef
2994438a,7a35df40,b420834d,9db4c0c7,ce155c0d,53a19cca
7ea8274a,0e7dc896,6b5c15de,15f43294,6521dd48,70d5efdc
70017c8d,a5c4ba07,97725450,e77328dd,32b6ee57,d5c5c68a
56de8b6f,23c617f6,b9f3958a,ef2d1ee5,9a35827c,75189c99
f87d44b5,cd157c7d,61ab5ba6,99d61f13,acbe27db,356838c8
8bd5cd34,349e913c,2e0f7c2c,a5dab118,1a91ed10,bf4b5c08
c2e3e55f,1e82352c,2cc5a668,ee264337,32479344,dc61d073
3991ea4d,e2aa58b5,176b97de,2efa7d93,f5c1cf6b,db3bb2f8
b7b264d1,75809f93,3c7e235f,8bcc478e,49febccc,c232fb42
8f91ef82,824dcbca,a532d41e,2aa33b9c,277f1fd4,0ddc2448
0a15eb4d,7eae98d2,e7a03c5b,edb5d716,990ea489,74bb739f
e6cfea2f,eb14dfc3,dc14b01d,3adb5a32,37006fde,0ddb35ec
8591253b,253a2d89,766c0192,f3fd24a9,53562c1b,a0ab08b2
62875927,06de214b,1431e2a7,76b6bb80,12efc3ec,6459786c
71200dd4,ae52c3a8,5a7b9723,2b5b9af7,f429548b,df72ce7c
e973b0f5,16161888,207a596b,c909e99e,366c41e3,ff65a87d
8e0a3380,04c198b0,2852178d,a658240d,2c938f3d,8acbab30
3599ab89,b9a2057b,091c7284,3c85d90d,b0be77ff,8c3baef2
28443c5a,e99a5694,d1b53b05,f9f1075f,382f6d91,c1de6ace
eeed354a,2dfebbee,debbd649,3056e303,f3456da7,c3138ea4
8992c712,90619856,0b87de8d,8215199f,9be646db,19f35f44
6cfc3b9a,11764bdf,7d4379e6,11bf427c,6c353239,7d8a7045
1bff3506,104538f7,b2d04210,a92f7716,a2957ae7,0bba0df1
202a3ef0,52f364bf,4054eff1,607ed101,12a78b4e,72d95a4f
3186a7bb,35eb975c,63b4cc79,52326bc2,565f5b25,046d30e7
651dc366,e07ce3f5,e49dfac6,818039a0,04e11933,85612093
25a996df,cd012c51,ab8e8f9e,8e271941,668fa3cf,e8a8ba8e
14c5810c,84a7a5ae,c7313c29,d3f4bd25,43969987,906224a2
c5a5bddf,6b403eac,3a41c032,ffe47ded,5101fe9e,aee58373
40bcc8d2,860c620b,dbba0dfb,9b06c529,5db66ff0,c6b0aad9
ebb03ad4,e008215b,69279eef,8297a43b,892fbfb4,0bb81b8f
9ed242df,72fa6ef8,2243a91c,bc91ebc3,50b9c7e4,ec282c27
3e2e1cee,d596a854,7769a263,4947be8d,a2ff0a37,ebb8b4ba
ee7bf9ef,b5507013,744f3252,9a34cbbd,c11f4241,5b2b89fc
97e946ee,19f83b77,ae6b264a,398260a4,b7931d3d,8e117d99
f439ef29,f4eb8f20,8d3b844d,79026b64,79d00b6d,00d26009
bc79baec,933829db,d1494f18,6d30f5f4,427166c3,2f419337
a7c3098b,beb9868c,90d0df1b,3713d690,2e695997,197a8f07
593980b1,7da9ca21,c1e58551,98dc05e0,bc4c4f70,24904a90
e133af84,85d60dab,8944248e,68778b0a,0c922925,64e5a22f
89e9c126,c06a95a3,199f1613,9076d735,d9f583b0,49835485
1e13a2fa,1a48c31b,55020326,4b11a1dc,4f4ac03d,045b61e1
21c40f75,6badc12a,a8f7709f,89337fea,c35ab1b5,4a69ce5f
7dc93f8d,a177ffde,b3b43eca,ce7d0147,12c3c114,dcbec053
1480c7fd,5df066f4,60452e68,74c5e995,3db5489c,4970a109
7109bc81,4c13be00,f8e94e49,89e0f2c8,b4faf049,3d1a0281
883c8254,670e90e1,a99ba298,21a720cc,ce953279,ef3212b5
773e4475,0f8e0fcc,b28964bd,c5b720c8,bd076b71,78b04bb9
ddfb9cef,3d442a3e,9d5ddd73,40a6419c,a019f74d,e0bfb6d1
f49641ae,f0225f4c,e232a5f2,16a4e45c,1210fabe,04b41ee2
450aacc5,e46a7c53,0ae7c3cd,4fed6f08,ee8dbf9e,a160d096
0c5e21cf,cb961ad3,36cbd467,3a95f5a8,fd5dceb4,c7c83b1c
f3b0e874,26eaadcb,5dad9814,ae1d7060,7b4735df,d55a45bf
f9e2dbb9,fea65f78,5f9a07f0,a678dc49,a13c5888,074484c1
d6a81dad,4d8a18b2,d2c5b0c3,046dad6e,9f4fa871,9b22051f
cca8e4b9,f3a383e5,e72c5b5e,2b84bfe7,148fd8bb,3f0b675c
a42ad383,c8da4f32,466c1f97,e246cc14,8eb650a5,6cf09cb1
686aef43,9563fdfc,2cf4eb7a,449e0439,b9971686,fd0912bf
a36f62a9,b2a05ad6,4842a5eb,eb2dc742,fae2ff3d,11cf387f
c15f5890,ff91f0e9,0e27e34a,cf78bbda,f1b613a3,3ecea879
38208bc9,4464b7e6,00b10ba0,38918069,44d5bc46,7c443c2f
b7031aea,b98e8b40,a354ec55,1457f6bf,1ada6715,0e8d91aa
7b9f32f5,304ee493,caeba723,b17495d6,faa543b0,4bd1d666
4a15f8c5,e5c8fb8a,51fc9d55,1be96590,b43466df,afdd034f
98a7842e,55870110,07e2c279,9f454657,5265c369,cd20853e
251c9b0d,d7e0d434,aaea0f77,8ff6947a,7d0adb43,f2fc4f39
c2b3437a,f5240d31,c1c86260,037b211a,34ec6f51,37974e4b
3300b3a9,16a0f1af,c41d7cdb,f71dcf72,d2bd8d74,25a04206
7502fcdd,9bb0aa7d,7f245f86,0a26a35b,e494f5fb,eeb256a0
1bce57a4,09eb3df5,3905077f,22cb50db,30ee3a8a,12256a51
cf4cc508,8c4ef212,4b2c41c1,846084c9,c762b3d3,4302371a
509f0275,3337cbb5,a241b735,f2deb540,91767c80,63a8c9c0
f2ff7a62,7061a559,4b169f7b,b9e9e519,3b773a22,829edf3b
255590ae,f42005b8,8c2c90c4,a979006a,780c957c,d1759516
93a0772f,34779c4e,83508b56,10f0fc79,b7271718,a7d7eb61
dbb8577e,dc081782,dd1b04a9,06a353d7,0113132b,07b040fc
68905817,42e9f2ae,f99e4647,910e1e50,bb77b4e9,2a79aab9
474a495d,1fe4ba93,7df9ea7b,3ab3a326,621d50e8,58aef3ce
63cb8efe,7b986495,15031484,76c89a7a,6e9b7011,1853ea6b
8a6d4dc9,cdbaf485,f9e2581a,738f15d3,3458ac9f,47d7b94c
9ce498e4,e8e80136,ce90c056,527458b2,2678c160,740c99d2
b74bb2f3,a22afdca,c36dda65,74266896,614727af,15614f39
6089016c,d7351011,aaad0bc5,ca240aa9,7d981bd4,b7bc117d
3f15c97f,e3e29980,fa2e892e,c53b4051,19cc10ae,dcf750ff
b6ef4d1b,b1fb7872,6a34fcfd,dcdbb1e6,dbcf848f,07143569
41db48a7,9c6f7e8d,e0470d19,a19c45be,7c287394,ddb4362a
38471709,d6355ea0,ae459fa9,960288a0,7870c109,ee7249a9
d407c5a4,7e258526,6f2cd162,bb2b14c6,11095444,aa224082
b23275c9,04c75aa7,78e975e9,cadb0020,7c2e2f4e,b6f52f6e
2e15a3a5,d3891dcf,8378b2f1,ad6d1154,50f1af3e,fd9cbe6a
d1c24a79,e6d67c19,a6a60d73,7764470a,4070716a,37143660
1b00aa64,937fce45,4bc7a312,50c70976,d8b86d57,887f6421
3ecacbb5,5882e27c,8b4344d1,b5898f64,d3c1a6ad,664829c9
d86d1aaf,2f72a84d,f236865a,2a5b9cf5,dd442e17,f71fb2e2
40852a5e,c70031bf,65d25aa6,255770f8,a2d26b19,87851be1
1cf1a039,4946b857,0df0cde8,11016dd1,44b675bf,55b7186e
0bc48d4d,925d7eb1,52ae3557,596ab81a,c0f34be6,9999f3fc
d0588c10,66f4555c,6d584453,bd00c843,0bac110f,b6acd94c
2e23b5f1,1a6c5764,25442ad4,0b679f25,3f287db0,344fe295
ad600ab7,5cc93f76,1d2b1233,b04b1884,41e22d45,f1a935c1
9e49dc89,5ff0f2a4,db63138b,452acf02,8493e12f,c1b92e2d
332479d9,8cce0c73,7395d8a3,40b1a17a,ff5bd4d0,bfea75aa
98e44462,4b31cd3a,4da10f47,d5454b25,0690c27d,d3d58958
192ef8fb,8fb5df01,f833caeb,e11d3210,778615ea,969b27fa
d36d1639,634d2ae2,04411867,d72c0e5e,670c3285,b0203cdb
d23746d1,be6451ca,5462965f,8655d08e,ea06c795,6c53171b
1c6f494d,4e21c656,1318d766,0f779e2b,5d391130,524e8f1b
2e49d933,a64db10c,a3e5840e,8dac5d3d,05a83502,8804683f
7a41db3b,3679fc86,d23f744b,a87eaf70,e44688cd,4c3827bd
db246152,1103ab66,8eed0194,55c960c6,9feeaaf2,ca27ca34
814d5b26,4d2fa3f2,5296b641,d3dbed67,1fb915b3,cc62f8d4
f5ebb13b,82db2920,b3bb657c,4650d447,31604c5c,7730981b
f41d1f3a,7443055e,d7e0cb5e,23fdd464,a3a3ce00,805e1a64
77b25824,d6dae908,a1aad92c,d6188108,77703024,a168b12c
