a0,a1,b0,b1,r,c0,c1,expected_and
2092da63,078632ff,a54155e4,e533066c,00000055,250040d1,25100059,00104088
6bf82f6a,4636be2e,12d17034,49daaf96,00000055,00c01051,09ca8151,090a9100
fb8698c9,1022b1e5,8c4db7e8,7a5ba810,00000055,8804217d,6a002855,e2040928
a1fe2a58,01f68785,9ff117b0,bf43701b,00000055,800005c5,a000204c,20002589
c5bee821,eb80c053,6a40b48e,22c4b955,00000055,2a002057,22042805,08040852
1b361770,396619d5,f693c447,247a71f7,00000055,22100450,205000f0,024004a0
f50b57b4,3330fe2d,7dfee6b0,e8de5786,00000055,443aa0c5,c01a01d5,8420a110
424af5e2,20a1e4a5,cf1fbe56,a9fa2b71,00000055,420b1013,20ea0114,62e11107
a161c3ae,9d9c97ac,e6f99f67,9b8b6923,00000055,24f91457,18894057,3c705400
e9fa5a0a,5db43c39,f3fe029d,e506f20c,00000055,b04e0244,a4066255,14486011
d1479f76,83beade2,bf2e6a2a,44110443,00000055,12282255,40110055,52392200
1120a40f,968093af,3db1a354,cb6c5a8e,00000055,05a02355,832012d5,86803180
90f86177,214d0f12,b8266725,e20f11b4,00000055,b0246670,a0050071,10216601
a3cf6eec,4bf93671,1563b001,98724da5,00000055,00221054,883248d0,88105884
f4b99185,35b99059,9debbba1,fdde115c,00000055,810001d5,c1000109,400000dc
46d63ad4,5fdaf026,8b8429c8,9739e26e,00000055,09040895,1108c237,180ccaa2
6ed2b976,890c6280,d68ab87a,0ec49ace,00000055,c68a9827,06c49a93,c04e02b4
abcaee81,5b16ec4a,04e3740c,efb406af,00000055,00c0005d,e09402de,e0540283
dd66e194,a155ac65,9f16384f,7d193b7d,00000055,1c120814,7c110924,60030130
b61ca0b3,b7f59d59,89e15ec2,aef4d7b4,00000055,01e11c97,00e015f5,01010962
b291a952,e9d827f5,5e6084ef,33579a8d,00000055,5a4084f2,13418ad0,49010e22
1c56fabb,791dad18,9830c22d,a809e20c,00000055,00004274,20094255,20090021
ba420cba,3e6f5d9f,ffe6718c,d2489070,00000055,84245151,80081075,042c4124
780e3314,8da20b62,9cb267ff,a83cb914,00000055,94a02023,a02c3841,348c1862
16a30d20,cf216801,266fcd79,048bfe8f,00000055,00024574,00826454,00802120
c5c0bd83,b1c7e1d2,7d6334e9,95aa3490,00000055,74031414,14021445,60010051
8127255e,37c3f0d3,3fd32e16,bb18bc9a,00000055,36c00451,b20094dd,84c0908c
80aad1e9,9407cb54,6c1e1032,01464ea1,00000055,040c1065,00040af4,04081a91
d648ae5a,9bffa1e2,3ca3ed51,8d3334c6,00000055,0ca30d45,0d3304d5,01900990
cbbfcca3,daad9285,a94ad28c,6d35a5f4,00000055,01025251,01100471,00125620
c0a85842,1f6247d5,550b3a64,853879b4,00000055,550a1a51,850819c1,d0020390
2d5bb55a,05a67f6b,9dd0eb1a,1151ce95,00000055,08d0ca45,0051ca44,08810001
ac7736d3,5df1a2c7,f23c3536,0313fe7a,00000055,f0041441,01029445,f1068004
3a1e0da1,f2d0d40e,2dc76766,87b0eed8,00000055,08c64173,8080c8dd,884689ae
b8dd2309,b906d6b2,7cee7075,d37c5dcc,00000055,00ca7064,015855dd,019225b9
3cd7d37f,1dbb6482,4200cecd,7a6646c9,00000055,00008698,2064069c,20648004
761746fb,c482a1ac,1a8fd5c7,f9895dd7,00000055,1285c512,b0814502,a2048010
5200ef17,f0cd95aa,7c524791,cf9085ec,00000055,204042c4,828000f9,a2c0423d
1c5b7370,c0eb1412,5a5e6873,b6586b95,00000055,58106037,94106355,cc000362
6c17e34e,43767b42,8d7cc403,23171f66,00000055,0d608055,23011851,2e619804
e4052ec7,e9ae38d4,49d74e38,50b826b8,00000055,09830645,00a80645,092b0000
b97a9b77,19420460,5b36cb28,e5f0f13a,00000055,00308b55,a0309147,a0001a12
98ad1194,efa31a8c,cc9c613f,6472c768,00000055,440c014d,6402035d,200e0210
eccce6e3,fbd1fed7,df12e5f3,04f5b196,00000055,17100065,04151041,13051024
30258497,f6bc10c6,a1f32e31,16e9a73a,00000055,80910444,06898445,86188001
023782b4,b48bcf41,c30b2499,6245f792,00000055,820804c4,220445c5,a00c4101
f0d8c912,1c53149c,aabd7f9a,9e1d9ce8,00000055,a8895ddf,8c099cdd,2480c102
b507c9c9,651a69f0,0990fdc5,8e27f9f2,00000055,0010a054,8005a065,80150031
cbfd2d33,b4ef893d,ee092a11,dbf5fd43,00000055,6e002055,5b10a457,35108402
13dc0296,5d69f120,42fe5f66,5574f6bd,00000055,42b45373,4434f2e1,0680a192
55b625cd,709e13ef,065fac7d,1c441579,00000055,04082475,04001475,00083000
86daac20,97e1e9ec,bb5fe9b2,830f94b3,00000055,111b41d5,010b04d5,10104500
a4a1b314,a1224668,7ba5f15c,6c50d022,00000055,0181f109,0400d075,0581217c
265bde50,a5f0bb33,53dddd50,e33796de,00000055,03894515,83230417,80aa4102
4e6e05b1,18b56c1f,dbf0366d,7045d700,00000055,52d02079,50414155,0291612c
f33e27e2,8a66a1e2,e68e509b,ab62b582,00000055,60080055,29408455,49488400
6baca902,6f3cf42d,6bb93aa4,5a6d952a,00000055,00901871,0000157f,00900d0e
9f50cfb7,9dba43f0,e28221ad,9441faf2,00000055,02820050,00408817,02c28847
28963923,0b94fc4c,849a803c,29a6483d,00000055,00028079,21024078,2100c001
88f5c3f1,f841371d,34b4b43e,6377d69e,00000055,30b4b479,6034d4d9,508060a0
f9f4246e,a719d34d,e828df9c,28239e4b,00000055,4828d755,08219656,40094103
9eee5b13,4a7b5dd7,14b3f439,0d3e5ea4,00000055,14910455,041406d1,10850284
435c124a,6f62ba33,6dfed087,2e04a0e7,00000055,2c3e8054,2c04a034,003a2060
eb945d90,2ded1bc4,99c6e04c,8ce8d073,00000055,80404011,84684005,04280014
3cc3c35f,31f33ecd,4bbd3b2c,16dcdc62,00000055,09303955,0410dc57,0d20e502
f5c65e1d,11d06e7d,47069fe8,cb59e048,00000055,44061035,c0102015,84163020
020ea6da,c78e8c08,ddbf4fa6,c802a8da,00000055,c5800ad7,c0002887,05802250
b8d9c03d,29624f51,318b9f54,e2ecfe75,00000055,118b8f11,80a88e31,91230120
58e8f109,b9ec3de0,270855a0,dc4aab55,00000055,210044f5,c0008814,e100cce1
2c7a6404,26aa6692,a3c35a8c,253ca878,00000055,02c002d1,00100045,02d00294
00c428c9,8c529aab,9a3c9668,5833c534,00000055,88149235,08128075,80061240
198705ce,ffd22650,d0950ffc,ed8fd37f,00000055,c01503c9,e405034b,24100082
1771fb49,e0b988d4,38a74359,0eb1d7ff,00000055,3080434c,068053c8,36001084
f0ab425a,47af87d9,42f93a2c,fa219681,00000055,02000055,b20084d4,b0008481
c3d9c2e8,2a8ad361,6c901960,221ec9ec,00000055,68101155,201201dd,48021088
ee73b125,b2ab4860,bb2bcf8a,c71e385c,00000055,1808c955,44183811,5c10f144
89f67b14,02a04281,9b20a62e,83b7b1c0,00000055,8b002051,831631d5,08161184
f7e3bf84,87778274,f82d1141,d92a7c04,00000055,70041115,50003c55,20042d40
766a431f,9a1663ab,22288a8e,722a1ff6,00000055,202800d1,602800e1,40000030
7aa8eeef,d0db6ab3,e0ca039e,43020b79,00000055,a0420049,0202000d,a2400044
a3607e62,b52fb88f,fb5d68e7,fbe42a13,00000055,124d40b0,12440254,000942e4
76ce39fc,315814f6,d34a2cdf,a16a5542,00000055,43022c5f,01020557,42002908
7f01692d,a070df0c,7c554774,1b218582,00000055,5c510675,1b218455,47708220
cc9c03e8,521874ae,fbec3140,c6278cfa,00000055,9a843115,86040417,1c803502
b6987e52,762e9a32,9e1133a5,ed5fd70a,00000055,80102075,c016c455,4006e420
33a6f72c,75cd3059,8ab0faff,4cdc71f5,00000055,0220c220,44484120,46688300
f568745e,1b155c6f,8442ed32,97972d33,00000055,84402865,86152864,02550001
38dbef2d,24fda63f,6a1ddbcc,1df0d4d2,00000055,08044955,1c204047,14240912
661ad510,f6f079c1,9dfdae8b,04c59d21,00000055,90e8acd4,00c08c54,90282080
906122d5,5d8cd80f,a7a1869f,15624088,00000055,85a182cf,056040dd,80c1c212
ac799f5a,aa43b19a,5ce1447a,2851f7fa,00000055,04200415,00102695,04302280
05483934,55a0a026,a7136466,827a8046,00000055,00000057,00688057,00688000
cfcf5c97,2d897e2d,6ccd0627,e1cd904a,00000055,60440277,e044005f,80000228
6425bbf0,4e2d05aa,59b5a73d,f7b5f03e,00000055,0800a64d,2200b04f,2a001602
e830f071,473de1f4,eba9daef,3f336fd0,00000055,ab0910d0,2f0101d5,84081105
ca6df63e,7ad40d2d,ca82c2be,fd36b60c,00000055,8080c247,b030b255,30b07012
f5c0709c,1f6970b7,c87719e3,1253c8bc,00000055,c8210076,0201007d,ca20000b
a5102289,2d0ecda0,cff86ffd,64757bfc,00000055,88186f7c,00146b7d,880c0401
a77055f1,ac202602,200fcb34,d3d3dc27,00000055,00004365,03505076,03501313
32adcac1,20c2fd1d,72fb1a42,ba3941a5,00000055,126b1215,122901d1,004213c4
25f66f96,bd266e2a,ff38df2d,c89506f0,00000055,98100179,889000e5,1080019c
91c0cff5,563c91b7,32c2cc6e,10caa3b0,00000055,02c04c17,00c80255,02084e42
79b622a3,cd5b2590,49c656a6,f26e7665,00000055,00c40677,b06c0674,b0a80003
ebd79f5b,039a3c50,09d91d4e,e4e56bbc,00000055,0849015f,e045235d,e80c2202
816100e1,b6500976,e6dadd76,c8e2e705,00000055,26100943,00200150,26300813
edfa4172,d35d9ed7,7937f257,d9c46d1b,00000055,3827d250,18844d54,20a39f04
df17b85f,5214866c,d3ffe660,da14dbc0,00000055,81032675,88001a55,09033c20
0945eeff,4585240e,c32e934e,6b1fc224,00000055,40008215,4800c275,08004060
ad4005ab,cca7d8dc,8c6aab49,c50e9781,00000055,00628914,41069554,41641c40
dee5eb48,e3d6eb04,ab923714,e8d4c9b9,00000055,29120051,2810005d,0102000c
d91ddec5,7adebaf9,2db1d8e6,20eb4dad,00000055,21814071,20c34479,01420408
ec958579,79f5fb14,9804a2ba,fb6d0baf,00000055,9000227d,91600a78,01602805
8fe8c49e,0816327e,b17d408c,9e16c27a,00000055,817c40d5,8616c235,076a82e0
e8ce1451,b3a63b58,abc6cbae,27204c4b,00000055,0b400b5d,03200c5c,08600701
2e07c088,6c7fb6c0,8a13bc9f,8c1d40a0,00000055,0210345d,00184055,02087408
067e00dd,9952afa3,5259c6ce,2fa699b2,00000055,1208861b,0f248967,1d2c0f7c
edaaceea,f7d2b616,bc11f982,038bafbe,00000055,181078d5,020828e9,1a18503c
1c540850,b183cb09,4999696e,13f46ba2,00000055,0991411d,01d44355,08450248
63693411,cd0e2075,702b2ccd,85403e6c,00000055,20230411,84401431,a4631020
b89fae99,b5041f96,6e75b630,20caf17e,00000055,0c11b055,008ab15b,0c9b010e
c526e168,2348ce32,3811c817,40906e19,00000055,20000847,40002e4d,6000260a
deea6324,7cad3940,a59fb845,d74f0397,00000055,a0071811,82470251,22401a40
bf261724,237c3148,9edcdaeb,c211a0cf,00000055,9c58023d,80102019,1c482224
5221af17,5fd3dc4f,fcb1a04d,c0290233,00000055,0cb0201d,00200245,0c902258
2a8e2254,d63b19a2,177593a8,11ec923c,00000055,143513f5,10a41261,04910194
80d96a39,7d90d9d7,40d435f1,579714cb,00000055,404031b5,5501109f,1541212a
e81a87eb,4103b712,4a0fa37e,55b0ad15,00000055,0809202d,01102044,09190069
129f909e,bb35c3ec,d88bf7fe,b005b920,00000055,888a5327,a0001175,288a4252
124eb0fe,db031085,61991068,46a58a83,00000055,4109003d,40058056,010c806b
6ac76fdc,9c524181,3c285c2e,d3dbd21d,00000055,34000c59,d2910248,e6910e11
173cb43c,413e84b2,23948b29,8b5fc1f4,00000055,0200005d,020200d1,0002008c
d39a7fd7,29798994,6963112d,776992f6,00000055,68631054,72619217,1a028243
2311178c,7e309508,9cce22e2,81ddf814,00000055,1c0002d5,01018051,1d018284
abb81716,61a45169,1f4acd65,75e826eb,00000055,0a084430,4008063e,4a00420e
3d06a682,a5941b3a,3c146d53,41fd7590,00000055,18102d45,009035c5,18801880
9a403631,1c43757a,1257ad8d,efed9d1d,00000055,0203015c,8601015c,84020000
206c3aab,4933be87,61116157,ad2ae68b,00000055,61110051,290a845d,481b840c
e22b4451,68d73f42,0954199a,1e2ecbe7,00000055,08541947,0a2c4b56,02785211
67dddbd6,6d98f247,250c8c20,575a28f5,00000055,00040855,024028c4,02442091
a6c3eb91,03c6441c,4f13de2c,24f8d071,00000055,05018e59,24008054,21010e0d
03f07e68,ccde95bf,c5e070ef,d841de70,00000055,c5206092,c800ca05,0d20aa97
8a3df441,06e38f47,d906960e,f6a809ce,00000055,88061253,84880953,0c8e1b00
e6a7b366,23308d0c,0958dd4e,44c80126,00000055,01101c1f,44800077,45901c68
86dd690d,8791731c,0c923c11,dca5a27f,00000055,00001844,00040244,00041a00
423dd2f1,4fb971f0,969be16e,61d0bf70,00000055,0480a155,0180a355,05000200
e9eb0eec,30dce492,f82ae8f9,fc134ab9,00000055,d822e82d,d8134a6d,0031a240
fe300edb,bafaffdc,a7da8ee6,b642f12f,00000055,04ca8053,0442f152,00887101
074c91fc,407c3f5a,201a8f8e,976fcba0,00000055,00108ed3,07208af5,07300426
7f6202da,9afe3246,1d8fbb86,4bc4c685,00000055,058c30d1,418400d1,44083000
7465e3be,bd233d09,bc40d12b,4982b59f,00000055,8840d076,490294c2,c14244b4
5e63aea7,f39c1d32,4a3e4151,b75f7d14,00000055,083e0144,a55f3141,ad613005
c393ab1b,1f3e251b,324dad30,a0cd22a4,00000055,100d8c55,808d0255,90808e00
8cf1b9f2,34573762,879e9956,ea3ca025,00000055,80868845,a8248055,28a20810
9106a021,b02d2799,30628ccc,05abec12,00000055,202284dd,012b8445,21090098
4e01632b,5a731b65,5f7dcc56,e61412ad,00000055,14704813,04101059,1060584a
5d4d212d,6538f416,2bdb10ba,86926a64,00000055,2851106f,00104075,2841501a
cfc49ad3,c1e37097,1fb56a1f,fe3f26ae,00000055,0e256a51,0e272251,00024800
de60bca3,a87050bf,717ddb33,22abb83b,00000055,7010c845,2200a84d,52106008
eba4bd67,0637c2a7,653e440e,78900a39,00000055,65124455,68900a55,0d824e00
a1340177,afa83352,1335b116,4a645f59,00000055,02143051,0a041254,08102205
439b8880,e29e7510,d4964652,7a5f7bb0,00000055,80044445,200579c5,a0013d80
4c5a5d32,42d6850d,0c65f210,d498c7d1,00000055,0c04d045,0488c044,088c1001
4eddd887,721bddbb,971d0435,a2115cef,00000055,14040461,20000479,34040018
b0c09c96,fa61bbc6,fd38b34c,1625b415,00000055,48202315,02212445,4a010750
1f0b7a08,4bc1a310,33fff6f5,25bfdfe7,00000055,10cad045,048ad955,14400910
baed50ad,67579637,ca2680ad,3222b963,00000055,c82280dd,10228057,d800008a
c1bac459,1dbd602f,1a12db22,af6377f0,00000055,18028077,8c032425,9401a452
00780bde,45d8cda9,ffcdae47,0fe9ef42,00000055,45808612,05a0c617,40204005
d2432219,0d133f20,60bdd400,deca5619,00000055,40101455,de40144c,9e500019
1c1c71b2,8a70e0a3,6e9187c7,b44708af,00000055,06008154,94440054,92448100
c80586eb,abfd110d,fa8291bf,c56142e8,00000055,628091f3,416002b5,23e09346
f71697f2,68c3e9ff,591e2b79,31cf6cd0,00000055,19142a5c,11c56c55,08d14609
96a49cff,c18ad0d6,ed2c4d26,36aba6d3,00000055,452c4c75,162a0454,53064821
eb1d18eb,aa62decd,ac841f15,52e9b490,00000055,00040651,40698455,406d8204
ca9ace9e,b1e83837,1cb303e7,20d7fa2d,00000055,183202f4,2052f27c,3860f088
9bedc49f,502a6359,27879dd0,e315d249,00000055,03878595,c3058215,c0820780
648265f6,7f30861a,1f52f4fd,8851302b,00000055,1b12e0b9,0810207d,1302c0c4
032cbf0d,50be5d25,387040ef,629480e7,00000055,1010407d,42908075,5280c008
18945d05,6c74450c,ba337239,6ff6505b,00000055,3020105c,64e0105c,54c00000
57f8eda5,5e79de6b,0aec6af4,09c21dab,00000055,08802291,098011df,0100334e
6ce6f86f,32464901,d260657e,85285304,00000055,5220213b,04201151,5600306a
b80aac3f,c46a7ef7,5c522067,dd084f4f,00000055,5c400015,5c00421d,00404208
350c88e8,79c5d3c4,05365c4d,489787e9,00000055,04005859,4881037d,4c815b24
9da74251,1a97df82,f7224b80,2b367659,00000055,872009d5,03301404,84101dd1
c67f7a70,e9e9e393,7bfbb5d3,dcb5b82f,00000055,2b929196,0c949876,270609e0
3e34f25f,dd6ca3f3,55ae8814,e01eb417,00000055,41080051,e0181051,a1101000
5262734b,45f14902,9929d05c,dd3258b9,00000055,1101101d,1512185c,04130841
e7a047dd,630fe4b8,9ae530ba,94cd442c,00000055,80a52075,848d0071,04282004
165ac508,1dc491d1,782f43f8,dbdf61ac,00000055,080e408d,0b9e40dd,03900050
65811e70,fa7d7dcc,c9a515d9,c499c7c1,00000055,89a401cd,849843d5,0d3c4218
456eedab,c2e69c29,4e87ad30,689f4d41,00000055,06802155,00884155,06086000
347f22ff,c33f0cff,705041d3,e4030cd7,00000055,70400055,e4000c55,94400c00
d70cfba6,a4a93080,391c543b,9aacf959,00000055,31044077,12a4c955,23a08922
185b3a51,4c8b4733,85c2b7b5,94482f33,00000055,04c03575,14402d77,10801802
abbd40c5,8c47ebe5,434adf7f,823c2e4b,00000055,034a8b75,02382a55,0172a120
f7dca4d9,fd1849c2,b331d2fe,1127e942,00000055,0200c04f,0004e957,02042918
25fc410d,1ae4817e,684e2ade,24fd457f,00000055,28080007,24184026,0c104021
ea6c4442,7a7fbdf3,23ca9531,be0e2f52,00000055,00029164,90022945,9000b821
d3b373a1,a954a716,4f2e5595,d450707a,00000055,4a2654c0,50405067,1a6604a7
98b86b3f,0ea34d22,b46d38d3,0990ab11,00000055,94092044,00102244,94190200
9ddd1b7b,81f2ad2f,1dc96364,fd0dc528,00000055,1c092211,1c0d8455,0004a644
3b8b7044,825d8ffb,c60fd48f,0129d207,00000055,8006d4da,0100d252,81060688
d94d3732,a6e6edd9,d06ee5d1,52ac22f1,00000055,502ac094,52a802b4,0282c220
7e050e71,b49768ec,eeb736ef,311eb7c7,00000055,ca9226d8,001226d0,ca800008
3b7d2750,e57a72df,354dbe3e,2f942d97,00000055,1405145b,0e0405d2,1a011189
89a90c67,c14eff1a,5676c819,3d9114da,00000055,4066c04c,0881100d,48e7d041
bede4a12,a422ac0f,a13f4bcd,c24e7fae,00000055,003c4258,024c6659,02702401
7f53dd0b,3a30c7a0,73748a26,e973b4f4,00000055,41600a77,416310f5,00031a82
eea2f325,1d17c935,33922e68,e71d396a,00000055,33902a55,e3153855,d0851200
bdde6de7,de2b2228,51597d35,9a6e7427,00000055,41514d50,02644452,43350902
1ebe60ed,612949df,a13891b7,d405217c,00000055,21100167,54052165,75152002
23b43869,e93b4c12,4b4322d5,de93006e,00000055,4a032004,ca83003f,8080203b
76ecff92,dd4fadba,b2373f9c,b9911efe,00000055,a223125d,a981127d,0ba20020
b844ac78,886f222f,b7ca76eb,a1e2fb40,00000055,300a0616,20228a15,10288c03
1a3fde71,dadce5d6,2ded8fc0,1bdf009f,00000055,00e10bd5,00c300d2,00220b07
7493ee81,131261cc,7f5e0962,7707c87b,00000055,67000915,6701881c,00018109
cee103cc,f1fb4ba7,ea1258ec,2dd1500f,00000055,2a12483d,2d10405e,07020863
d7be7af5,18f53dc9,e9adfc30,974ebab0,00000055,c9094465,874a0265,4e434600
e83072c8,7f83225c,5f6e3c56,308d5ca0,00000055,17221041,108150d5,07a34094
5a17876e,5f5b787a,c1454dde,9add9caf,00000055,01444d41,004c9c51,0108d110
96abe0a5,d41ba86c,235480e3,bde6ef4c,00000055,02100094,00a0481d,02b04889
f1bc4d82,93c6b1af,13561e92,81c9ec41,00000055,02521c55,0048ec54,021af001
09c55eef,9fdcecbe,8afdeeb9,a92bdcf1,00000055,8219a244,80099004,02103240
6c843ea5,623a4133,44541fda,c2602401,00000055,04141fc7,02202455,06343b92
c5dd75ec,4d8c612f,06a847b8,a8a84fae,00000055,000004d5,880004d7,88000002
5e4f8522,4856af4d,9dbeaed6,e7d7b275,00000055,14182a13,06112230,12090823
a69efa87,30ced1e3,6be29ada,f2274074,00000055,02400a15,92000031,90400a24
